Country Code,Country Name,Income Group,Region,Special Notes,Year,Fertility Rate,GDP per capita,Population
AFG,Afghanistan,Low income,South Asia,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2010,6.099,554.5952002,28189672.0
AFG,Afghanistan,Low income,South Asia,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2015,5.405,592.4765375,33753499.0
AFG,Afghanistan,Low income,South Asia,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2020,4.75,516.8665522,38972230.0
AFW,Africa Western and Central,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",1980,6.896995014,709.8423973,157825609.0
AFW,Africa Western and Central,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",1985,6.726141693,644.3369904,180817312.0
AFW,Africa Western and Central,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",1990,6.518278309,589.158849,206739024.0
AFW,Africa Western and Central,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",1995,6.235698274,458.8342197,235861484.0
AFW,Africa Western and Central,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",2000,6.023178689,520.7865838,269611898.0
AFW,Africa Western and Central,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",2005,5.864603866,1000.869581,309824829.0
AFW,Africa Western and Central,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",2010,5.699552217,1675.739572,356337762.0
AFW,Africa Western and Central,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",2015,5.385059308,1876.623483,408690375.0
AFW,Africa Western and Central,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",2020,5.049329378,1683.436391,466189102.0
AGO,Angola,Lower middle income,Sub-Saharan Africa,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",1980,7.459,711.9411692,8330047.0
AGO,Angola,Lower middle income,Sub-Saharan Africa,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",1985,7.451,757.5817453,9970621.0
AGO,Angola,Lower middle income,Sub-Saharan Africa,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",1990,7.272,949.2863813,11828638.0
AGO,Angola,Lower middle income,Sub-Saharan Africa,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",1995,6.918,398.1202225,13912253.0
AGO,Angola,Lower middle income,Sub-Saharan Africa,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2000,6.639,556.8842437,16394062.0
AGO,Angola,Lower middle income,Sub-Saharan Africa,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2005,6.461,1900.724725,19450959.0
AGO,Angola,Lower middle income,Sub-Saharan Africa,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2010,6.194,3496.784796,23364185.0
AGO,Angola,Lower middle income,Sub-Saharan Africa,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2015,5.774,3100.830685,28127721.0
AGO,Angola,Lower middle income,Sub-Saharan Africa,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2020,5.371,1603.993477,33428486.0
ALB,Albania,Upper middle income,Europe & Central Asia,,1980,3.614,,2671997.0
ALB,Albania,Upper middle income,Europe & Central Asia,,1985,3.205,639.8659094,2964762.0
ALB,Albania,Upper middle income,Europe & Central Asia,,1990,2.9,617.2304355,3286542.0
ALB,Albania,Upper middle income,Europe & Central Asia,,1995,2.685,750.6044492,3187784.0
ALB,Albania,Upper middle income,Europe & Central Asia,,2000,2.231,1126.68334,3089027.0
ALB,Albania,Upper middle income,Europe & Central Asia,,2005,1.803,2673.786584,3011487.0
ALB,Albania,Upper middle income,Europe & Central Asia,,2010,1.656,4094.348386,2913021.0
ALB,Albania,Upper middle income,Europe & Central Asia,,2015,1.613,3952.802538,2880703.0
ALB,Albania,Upper middle income,Europe & Central Asia,,2020,1.4,5332.160475,2837849.0
AND,Andorra,High income,Europe & Central Asia,,1980,,12535.9048,35611.0
AND,Andorra,High income,Europe & Central Asia,,1985,,7914.765568,43809.0
AND,Andorra,High income,Europe & Central Asia,,1990,,19209.77584,53569.0
AND,Andorra,High income,Europe & Central Asia,,1995,,18731.5502,62928.0
AND,Andorra,High income,Europe & Central Asia,,2000,,21620.48502,66097.0
AND,Andorra,High income,Europe & Central Asia,,2005,,39584.91575,79826.0
AND,Andorra,High income,Europe & Central Asia,,2010,1.27,48238.4661,71519.0
AND,Andorra,High income,Europe & Central Asia,,2015,,38885.37601,71746.0
AND,Andorra,High income,Europe & Central Asia,,2020,,37207.49386,77700.0
ARB,Arab World,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,1980,6.353993302,2741.740907,167707208.0
ARB,Arab World,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,1985,5.872417755,2140.773841,195956917.0
ARB,Arab World,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,1990,5.147725739,2850.818507,225923327.0
ARB,Arab World,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,1995,4.442823499,2173.771277,255803349.0
ARB,Arab World,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,2000,3.878588745,2842.619272,287065982.0
ARB,Arab World,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,2005,3.576595706,4048.845578,320558754.0
ARB,Arab World,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,2010,3.504198074,6385.356001,364427661.0
ARB,Arab World,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,2015,3.471038097,6245.787785,406501999.0
ARB,Arab World,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,2020,3.186002779,5544.630918,449228296.0
ARE,United Arab Emirates,High income,Middle East & North Africa,,1980,5.948,42994.75809,1014048.0
ARE,United Arab Emirates,High income,Middle East & North Africa,,1985,5.126,29432.83121,1379536.0
ARE,United Arab Emirates,High income,Middle East & North Africa,,1990,4.537,26682.84981,1900151.0
ARE,United Arab Emirates,High income,Middle East & North Africa,,1995,3.274,27010.67819,2433988.0
ARE,United Arab Emirates,High income,Middle East & North Africa,,2000,2.733,31855.5006,3275333.0
ARE,United Arab Emirates,High income,Middle East & North Africa,,2005,2.204,42190.55438,4280993.0
ARE,United Arab Emirates,High income,Middle East & North Africa,,2010,1.79,34165.91331,8481771.0
ARE,United Arab Emirates,High income,Middle East & North Africa,,2015,1.486,41525.1389,8916899.0
ARE,United Arab Emirates,High income,Middle East & North Africa,,2020,1.46,37629.17417,9287289.0
ARG,Argentina,Upper middle income,Latin America & Caribbean,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",1980,3.301,2746.207484,28024803.0
ARG,Argentina,Upper middle income,Latin America & Caribbean,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",1985,3.095,2919.283585,30287112.0
ARG,Argentina,Upper middle income,Latin America & Caribbean,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",1990,3.034,4330.959441,32637657.0
ARG,Argentina,Upper middle income,Latin America & Caribbean,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",1995,2.864,7383.70451,34946110.0
ARG,Argentina,Upper middle income,Latin America & Caribbean,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2000,2.591,7666.517834,37070774.0
ARG,Argentina,Upper middle income,Latin America & Caribbean,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2005,2.426,5086.627761,39070501.0
ARG,Argentina,Upper middle income,Latin America & Caribbean,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2010,2.346,10385.96443,40788453.0
ARG,Argentina,Upper middle income,Latin America & Caribbean,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2015,2.301,13789.06042,43131966.0
ARG,Argentina,Upper middle income,Latin America & Caribbean,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2020,1.911,8496.424142,45376763.0
ARM,Armenia,Upper middle income,Europe & Central Asia,,1980,2.505,,3135123.0
ARM,Armenia,Upper middle income,Europe & Central Asia,,1985,2.649,,3300896.0
ARM,Armenia,Upper middle income,Europe & Central Asia,,1990,2.713,634.5604133,3556539.0
ARM,Armenia,Upper middle income,Europe & Central Asia,,1995,2.055,441.8940018,3322782.0
ARM,Armenia,Upper middle income,Europe & Central Asia,,2000,1.603,603.2980252,3168523.0
ARM,Armenia,Upper middle income,Europe & Central Asia,,2005,1.54,1608.163552,3047246.0
ARM,Armenia,Upper middle income,Europe & Central Asia,,2010,1.501,3143.029202,2946293.0
ARM,Armenia,Upper middle income,Europe & Central Asia,,2015,1.602,3666.141876,2878595.0
ARM,Armenia,Upper middle income,Europe & Central Asia,,2020,1.575,4505.867364,2805608.0
ASM,American Samoa,Upper middle income,East Asia & Pacific,,1980,,,32886.0
ASM,American Samoa,Upper middle income,East Asia & Pacific,,1985,,,39663.0
ASM,American Samoa,Upper middle income,East Asia & Pacific,,1990,,,47818.0
ASM,American Samoa,Upper middle income,East Asia & Pacific,,1995,,,53401.0
ASM,American Samoa,Upper middle income,East Asia & Pacific,,2000,,,58230.0
ASM,American Samoa,Upper middle income,East Asia & Pacific,,2005,,8733.014287,57254.0
ASM,American Samoa,Upper middle income,East Asia & Pacific,,2010,,10446.86321,54849.0
ASM,American Samoa,Upper middle income,East Asia & Pacific,,2015,,13101.54182,51368.0
ASM,American Samoa,Upper middle income,East Asia & Pacific,,2020,,15501.52634,46189.0
ATG,Antigua and Barbuda,High income,Latin America & Caribbean,,1980,2.311,2025.474682,64889.0
ATG,Antigua and Barbuda,High income,Latin America & Caribbean,,1985,2.151,3703.786816,65048.0
ATG,Antigua and Barbuda,High income,Latin America & Caribbean,,1990,2.249,7255.406303,63328.0
ATG,Antigua and Barbuda,High income,Latin America & Caribbean,,1995,2.159,8440.034526,68398.0
ATG,Antigua and Barbuda,High income,Latin America & Caribbean,,2000,2.196,11010.19746,75055.0
ATG,Antigua and Barbuda,High income,Latin America & Caribbean,,2005,1.832,12808.01015,79869.0
ATG,Antigua and Barbuda,High income,Latin America & Caribbean,,2010,1.785,13404.51602,85695.0
ATG,Antigua and Barbuda,High income,Latin America & Caribbean,,2015,1.567,14861.88271,89941.0
ATG,Antigua and Barbuda,High income,Latin America & Caribbean,,2020,1.569,14787.63578,92664.0
AUS,Australia,High income,East Asia & Pacific,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",1980,1.891,10208.57617,14692000.0
AUS,Australia,High income,East Asia & Pacific,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",1985,1.923,11440.96857,15788312.0
